,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
0,Espace Parthenais-Larivière,https://montreal.ca/lieux/espace-parthenais-lariviere,"L’aménagement temporaire créé par Sandra Tannous répond à l’environnement dans lequel il s’inscrit. On y perçoit des références à l’environnement immédiat et à une temporalité passée, soit à l’ancienne piste d’athlétisme de l’école puis au Stade Delorimier, domicile de l’équipe de baseball des Royaux jusqu’en 1960.Les caractéristiques formelles s’inscrivent également en continuité de la palette de couleurs et des formes des Réverbères bleus, intervention artistique réalisée en 2013 par Sandra Tannous elle-même et l’artiste Delphine Quach.",2021-04-19,2022-09-02,Ville-Marie,Parc et jardins,Parc,,Aire de pique-nique,Adapté aux poussettes,Culture et sports,Ouvert, ,,,,,,Espace Parthenais-Larivière,Rue Parthenais,,,Montréal,-73.557974129952,45.530184092602,300271.7,5043364.7
1,Le Bouquiniste,https://montreal.ca/lieux/le-bouquiniste,"Un croque-livre géantCette place héberge durant l’été une structure inspirée d’un grand livre ouvert appelé Le Bouquiniste. L’aménagement inclut une micro bibliothèque et un croque-livre adulte et jeunesse, selon le principe « prenez un livre, donnez-en un ». Une biblio mobileLa biblio mobile d’Ahuntsic-Cartierville sera sur place certains jeudis de juillet et août, de 16 h à 19 h, sauf en cas de pluie. Des livres pour les jeunes et pour les personnes aînées seront mis en valeur. Les prêts et les retours sont effectués de façon automatisée en temps réel, grâce à un ordinateur portable relié au système informatique des bibliothèques.Des activités pour la familleDu 27 juin au 24 août, plusieurs animations seront offertes gratuitement chaque semaine en collaboration avec des organismes du milieu : ateliers d’agriculture urbaine, entretien des bacs et ateliers de création (écriture et photographie). Venez faire un tour!Renseignements sur le projet de bibliothèque et d’espace culturel interarrondissement.",2021-05-31,2023-07-05,"Ahuntsic-Cartierville,Montréal-Nord",Parc et jardins,Parc,,"Aire de pique-nique,Support à vélo,Toilettes",Accessible en fauteuil roulant avec assistance,Culture et sports,Ouvert, ,,,,,,Le Bouquiniste,Angle du boulevard Henri-Bourassa Est et de l'avenue Oscar,,,Montréal,-73.650468681807,45.582960220689,293058.1,5049239.1
2,Parc Beaubien,https://montreal.ca/lieux/parc-beaubien,"Des stations loisirs pour vos activités hivernales Dès le 10 décembre, nous vous prêtons gratuitement de l’équipement pour le patinage. Des animations pourront aussi avoir lieu sur place.Pour en savoir plus",2019-09-17,2022-11-21,Rosemont–La Petite-Patrie,Parc et jardins,Parc,"Tennis,Raquette,Patinage,Hockey,Basketball,Baseball","Module de jeu pour enfants,Support à vélo,Terrain de basketball",Adapté aux poussettes,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Beaubien,"6633, 6e Avenue",,H1Y2X7,Montréal,-73.591607809067,45.553426794776,297647.6,5045950.1
3,Parc Médéric-Archambault,https://montreal.ca/lieux/parc-mederic-archambault,"Vous ne connaissez pas ce parc? Ce n’est pas surprenant. Ce petit parc est actuellement loin d’être invitant pour l’instant avec son boisé dense et le manque d’aménagements.Pourtant, de par sa localisation en bordure de rive, ce parc présente un grand potentiel pour notre entrée de ville.  C’est pourquoi RDP-PAT, dans un souci de verdissement du territoire et en lien avec l’adoption de notre Politique d’agriculture urbaine, a décidé de complètement réaménager ce parc.En effet, l’arrondissement réalisera un projet d’agrandissement majeur du parc afin de le faire passer de 2700 à 23 000 mètres carrés. Le nouveau périmètre longera la rue Notre-Dame sur plusieurs centaines de mètres. Pour tout savoir sur le projet de réaménagement prévu, c’est par ici.",2021-07-15,2023-10-11,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,"Photographie,Observation d'oiseaux",Stationnement gratuit,,Organisation municipale,Ouvert, ,,,,,,Parc Médéric-Archambault,"261, 100e Avenue",,H1A2B9,Montréal,-73.484696748675,45.700920393396,305991.7,5062337.5
4,Promenade Michel-Chartrand,https://montreal.ca/lieux/promenade-michel-chartrand,"Ce lieu rend hommage à Michel Chartrand, figure marquante de la lutte sociale et militant syndical.",2023-02-22,2023-07-25,LaSalle,Parc et jardins,Parc,,,Stationnement accessible,Organisation municipale,Ouvert, ,,,,,,Promenade Michel-Chartrand,Boulevard LaSalle,À l'angle de la 90e Avenue,H8R2N1,LaSalle,-73.644353,45.41707202601893,293502.2,5030803.0
5,Parc des Épinettes,https://montreal.ca/lieux/parc-des-epinettes,Profitez des attraits de la nature ou pratiquer des activités en plein air.,2020-05-26,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,Module de jeu pour enfants,,Organisation municipale,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc des Épinettes,rue des Épinettes,coin rue des Bois-Francs,,Montréal,-73.507342064992,45.64902412716,304227.7,5056570.0
6,Parc Sainte-Marie,https://montreal.ca/lieux/parc-sainte-marie,"Aire de jeux pour les enfants, jeux d’eau, jeux d’échecs et tables de ping-pong.",2020-06-16,2023-06-29,Ville-Marie,Parc et jardins,Parc,Ping-pong,"Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Table de ping pong",,Organisation municipale,Ouvert, ,,,,numéro: 5148720311,,Parc Sainte-Marie,Rue LaFontaine,,H2K4P9,Montréal,-73.551393,45.529574,300785.7,5043296.5
7,Parc Thomas-Valin,https://montreal.ca/lieux/parc-thomas-valin,"Niché l’extrême est de l’arrondissement de Ville-Marie, le parc a été aménagé selon les principes de permaculture. Vous pouvez y apercevoir une mare, des plantes vivaces et indigènes et vous pouvez y remplir votre gourde.",2023-10-27,2023-10-27,Ville-Marie,Parc et jardins,Parc,,,,Organisation municipale,Ouvert, ,,,,,,Parc Thomas-Valin,Au coin des rues Ontario Est et Lespérance,,H2K1X3,Montréal,-73.54935072931416,45.538172466561065,300945.8,5044252.0
8,Parc Victor-T.-Daubigny,https://montreal.ca/lieux/parc-victor-t-daubigny,"Petit parc cultivé en permaculture, le parc Victor-T.-Daubigny est un petit bout de nature en plein centre-ville, non loin du métro Beaudry, parfait pour relaxer et profiter de la faune et de la flore.",2020-10-05,2024-01-30,Ville-Marie,Parc et jardins,Parc,,,"Adapté aux poussettes,Entrée de plain-pied",Organisation municipale,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,,,,,,-73.562996804893,45.521315753071,299878.6,5042379.4
9,Espace Hawarden,https://montreal.ca/lieux/espace-hawarden,"Situé à 5 minutes à pied du métro Atwater, l’espace Hawarden offre une pause au vert agréable, une boîte de jeux pour les enfants et, selon la saison, des animations gratuites.",2024-01-31,2024-01-31,Ville-Marie,Parc et jardins,Parc,,,,Organisation municipale,Ouvert, ,,,,,,Espace Hawarden,Rue Hawarden,,,Montréal,-73.58078565316062,45.487417208871534,298485.2,5038613.5
10,Parc Serge-Garant,https://montreal.ca/lieux/parc-serge-garant,"En plus d’un lieu de détente, le parc est devenu un lieu d’exposition permanent en plein air, et ce, en plein coeur du Village.",2021-06-01,2021-06-01,Ville-Marie,Parc et jardins,Parc,,,Adapté aux poussettes,Culture et sports,Ouvert, ,,,,,,Parc Serge-Garant,"1415, rue Beaudry",,H2L 2H3,Montréal,-73.556075,45.519123,300419.2,5042135.3
11,Parc La Fontaine,https://montreal.ca/lieux/parc-la-fontaine,"Ne manquez pas l’oiseau vedette du parc, l’étourneau sansonnet. Ce volatile au plumage brun est reconnu pour ses capacités d’imitation de chants d’oiseaux. Au fil de vos promenades, découvrez les nombreuses expositions culturelles présentées dans les différents espaces du parc tout au long de l’année.Terrains de pétanque - Début de la saison en mai 2023Deux terrains de pétanque sont disponibles durant les heures d’ouverture du parc. La priorité revient aux détenteurs et détentrices d’un permis de jeu. Celui-ci est gratuit. Afin d’en obtenir un, il faut remplir un formulaire au minimum 5 jours avant la réservation souhaitée. Des questions? reservationterrainsport_plateau@montreal.ca.Projets en coursLe Jardin du Petit Monde à bicycletteDepuis l’automne 2020, l’avenue Calixa-Lavallée nord et le stationnement du pavillon de Calixa-Lavallée sont devenus des lieux d’apprentissage au code de la route pour les apprentis cyclistes. Également disponibles : Modules d’initiation à la planche à roulettes.Travaux dans le parc La Fontaine : projets en coursLa restauration d’ouvrages de maçonnerie, l’installation d’un système de drainage et la réfection de conduites d’égout pluviales sont en cours dans le parc La Fontaine. Voici tout ce que vous devez savoir sur ce chantier.Fermeture des pataugeoires - été 2023 Les 2 pataugeoires situées près de la rue Rachel Est demeurent fermées pour la période estivale. Le remplacement de ces équipements aquatiques, ainsi que la restauration du pavillon des baigneurs sont prévus dans le cadre du projet d’aménagement du pôle famille.",2019-07-18,2023-12-11,Le Plateau-Mont-Royal,Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Pétanque ou bocce,Observation d'oiseaux,Volleyball","Aire de pique-nique,Casse-croûte,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Terrain de jeu de boules,Toilettes,Vestiaire,Wi-Fi gratuit","Adapté aux poussettes,Rampe d'accès,Stationnement accessible",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc La Fontaine,"3819, avenue Calixa-Lavallée",,H2L3A7,Montreal,-73.569182348954,45.525857972299,299395.9,5042884.6
12,Parc Alexis-Nihon,https://montreal.ca/lieux/parc-alexis-nihon,Profitez des attraits de la nature ou pratiquez des loisirs en plein air!Le terrain de volleyball est ouvert de 9 h à 21 h.,2019-07-24,2022-05-06,Saint-Laurent,Parc et jardins,Parc,Volleyball,Terrain de volleyball,"Adapté aux poussettes,Sentier d'accès",Culture et sports,Ouvert," Terrains de tennis [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:22:00,Samedi, ouverture:09:00, fermeture:22:00,Dimanche, ouverture:09:00, fermeture:22:00]",,,,,,Parc Alexis-Nihon,"2999, rue Badeaux",,H4M 1M4,Saint-Laurent,-73.565362136803,45.500933837727,299692.0,5040114.5
13,Parc Gédéon-De Catalogne,https://montreal.ca/lieux/parc-gedeon-de-catalogne,Ce parc de détente est aussi un site de compostage collectif.,2021-06-07,2022-01-24,Le Sud-Ouest,Parc et jardins,Parc,,Bacs bruns publics,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Gédéon-De Catalogne,Square Sir-George-Étienne-Cartier,,H4C 3R3,Montréal,-73.583113498514,45.471961140444,298301.4,5036896.1
14,Parc York-De Roberval,https://montreal.ca/lieux/parc-york-de-roberval,Ce petit parc de détente est aussi un site de compostage collectif.,2021-06-07,2021-06-07,Le Sud-Ouest,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc York-De Roberval,Angle des rues York et De Roberval,,,Montréal,-73.582821138195,45.464445745025,298323.4,5036060.8
15,Parc du Bois-des-Pères,https://montreal.ca/lieux/parc-du-bois-des-peres,"Le parc du Bois-des-Pères est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-07-30,2021-05-28,Rosemont–La Petite-Patrie,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc du Bois-des-Pères,Place de Jumonville,,,Montréal,-73.555065393448,45.574458702655,300502.3,5048284.8
16,Parc 40e Avenue / 41e Avenue,https://montreal.ca/lieux/parc-40e-avenue-41e-avenue,Le parc 40e Avenue / 41e Avenue est également un endroit parfait pour profiter des attraits de la nature.,2019-07-30,2024-02-01,Lachine,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc 40e Avenue / 41e Avenue,41e Avenue,,H8T 1A2,Montréal,-73.702291846275,45.440407235933,288974.2,5033406.0
17,Parc Ahuntsic,https://montreal.ca/lieux/parc-ahuntsic,"Vérifiez si les jeux d’eau et la pataugeoire du parc sont ouverts avant de vous y rendre.Aire de jeux inclusiveMunie de balançoires adaptées avec sièges parents-enfants, d’un module de jeu accès universel, d’un tourniquet d’accès universel, de marquage ludique au sol et de glissades de différentes hauteurs, l’aire de jeux du parc Ahuntsic accueille tous les enfants vivant ou non avec une situation de handicap. L’installation de ces aires de jeux répond aux besoins de tous les enfants, soit ceux qui vivent avec un handicap et tous les autres.",2019-07-30,2024-01-03,Ahuntsic-Cartierville,Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Observation d'oiseaux,Glissade,Baseball,Baignade","Appareils d'exercices,Aire de pique-nique,Borne de recharge voiture,Fontaine d'eau potable,Mur autorisé pour graffitis,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Support à vélo,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Équipement adapté,Sentier d'accès,Stationnement accessible,Toilettes accessibles",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Ahuntsic,"10555, rue Lajeunesse",,H3L2E5,Montréal,-73.663374,45.5557,292044.9,5046211.6
18,Parc De Lotbinière,https://montreal.ca/lieux/parc-de-lotbiniere,"Le parc De Lotbinière est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-07-30,2024-02-01,Mercier–Hochelaga-Maisonneuve,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Lotbinière,"1, rue du Parc-De Lotbinière",,H1M 2E1,Montréal,,,,
19,Parc Villeray,https://montreal.ca/lieux/parc-villeray,"Le parc Villeray est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-07-30,2022-01-12,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Douches,Fontaine d'eau potable,Table à langer,Toilettes,Vestiaire",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Villeray,"8000, rue De Normanville",,H2R 2V6,Montréal,-73.621509075165,45.548362938305,295312.2,5045390.5
20,Parc Villeray Ouest,https://montreal.ca/lieux/parc-villeray-ouest,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-07-30,2022-01-20,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Villeray Ouest,"7750, avenue Christophe-Colomb",,A1B 2C3,Montréal,-73.620649159329,45.546069417436,295378.9,5045135.5
21,Parc-école Montcalm,https://montreal.ca/lieux/parc-ecole-montcalm,Le parc-école Montcalm vous offre un bel espace pour pratiquer des activités récréatives et vous permet de profiter des installations sportives extérieures de l’école.,2019-07-30,2022-01-19,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,Basketball,"Aire de pique-nique,Module de jeu pour tout-petits",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc-école Montcalm," 8800, 12e Avenue",,H1Z 3J2,Montréal,-73.621949581663,45.569764457621,295281.4,5047768.9
22,Parc Shaughnessy,https://montreal.ca/lieux/parc-shaughnessy,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-07-30,2022-01-20,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Shaughnessy,"7634, 17e Avenue",,H2A 2S4,Montréal,-73.601150980617,45.565547802153,296904.2,5047298.0
23,Parc Philippe-Lalonde,https://montreal.ca/lieux/parc-philippe-lalonde,"Éclairé à l’énergie solaire et muni d’un escalier et d’une rampe d’accès universel, cet espace vert répond aux impératifs environnementaux et aux enjeux d’accessibilité universelle. Les citoyens peuvent s’exercer sur un module d’escalade pour enfants et adultes constitué de 26 poteaux avec quatre parcours permettant de tester force motrice, coordination et équilibre. Ils peuvent aussi profiter des chaises longues pour une pause bien méritée ou des tables de pique-nique pour casser la croûte dans ce lieu enchanteur.Philippe-LalondeLe parc est nommé en l’honneur de M. Philippe-Lalonde (1899-1974). Ayant étudié à l’école supérieure de Saint-Henri, il est champion provincial de boxe,  gardien de but réserviste pour le club de hockey Les Canadiens et élu député libéral dans Montréal-Saint-Henri de 1952 à 1962. Il est également nommé adjoint parlementaire du premier ministre Jean Lesage en 1962.",2021-06-11,2021-06-25,Le Sud-Ouest,Parc et jardins,Parc,Vélo,Circuit d'entraînement,,Culture et sports,Nouveau," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Philippe-Lalonde,Rue Philippe-Lalonde,,,Montréal,-73.592632945219,45.4673030028,297556.5,5036379.2
24,Parc Agnès-Vautier,https://montreal.ca/lieux/parc-agnes-vautier,Il dispose d’un skatepark.,2021-06-29,2021-06-29,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Agnès-Vautier,Rue Joseph-Dargent,,,Montréal,-73.498833182658,45.651957205699,304890.9,5056896.0
25,Parc Victoria-Girard,https://montreal.ca/lieux/parc-victoria-girard,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.,2019-08-29,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,"Aire de pique-nique,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Victoria-Girard,"1881, rue Jean-Leduc",,H1A 5G7,Montréal,-73.506988,45.654278,304255.4,5057153.9
26,Parc Grier,https://montreal.ca/lieux/parc-grier,La piscine Valleycrest et les jeux d’eau sont fermés.,2019-08-29,2022-04-26,Pierrefonds-Roxboro,Parc et jardins,Parc,"Tennis,Soccer,Pétanque ou bocce,Hockey,Basketball,Baseball","Terrain de basketball,Terrain de jeu de boules",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Grier,"4590, rue des Cageux",,H9J 3P9,Montréal,-73.884154,45.457982,274756.0,5035411.0
27,Parc du Millénaire,https://montreal.ca/lieux/parc-du-millenaire,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-08-29,2024-02-01,Pierrefonds-Roxboro,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc du Millénaire,Rue Saint Léon,,H8Z 2Y3,Montréal,-73.848705489614,45.496020960508,277546.7,5039625.6
28,Parc Brook,https://montreal.ca/lieux/parc-brook,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-08-29,2022-04-26,Pierrefonds-Roxboro,Parc et jardins,Parc,"Tennis,Baseball",,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Brook,"12800, rue Brook",,H8Z 1B8,Montréal,-73.842982,45.510052,278000.6,5041183.0
29,Parc Alexander,https://montreal.ca/lieux/parc-alexander,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-08-29,2022-04-26,Pierrefonds-Roxboro,Parc et jardins,Parc,"Tennis,Soccer,Basketball,Baseball,Volleyball","Terrain de basketball,Terrain de volleyball",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Alexander,"14899, rue Oakwood",,H9H 1Y1,Montréal,-73.855912685394,45.475164109995,276973.1,5037310.3
30,Square Saint-Patrick,https://montreal.ca/lieux/square-saint-patrick,"Le square bénéficie d’un décor maritime juste à côté de la piste cyclable, au pied du centre-ville et offre un espace de verdure bienvenu dans le quartier Pointe-Saint-Charles.Trois nouveaux terrains de volleyball de plage sont accessibles à la population en accès libre pour la saison 2023. Les organismes possédant un permis de réservation auront priorité sur les terrains.Les terrains sont munis de filets seulement, les participantes et participants devront apporter leur propres ballons et lignes. Aucun matériel complémentaire ne sera fourni.Mode de fonctionnement en 2024À compter de 2024, des plages horaires seront dédiées à la location. Les joueuses et joueurs, moyennant des frais, pourront réserver une session de volleyball d’une durée de huit semaines au printemps, à l’été et à l’automne.À compter du 4 mars 2024, les demandes de réservations seront acceptées par courriel à cette adresse : plateauxsportifs.so@montreal.ca. Un tirage au sort sera effectué si la demande est supérieure à l’offre. À noter qu’il n’y aura ni annulation ni remboursement en cas de mauvais temps ou d’absence.Heures de location des terrainsLes lundis : de 18 h à 19 h 30 et de 19 h 30 à 21 hLes mardis : de 18 h à 19 h 30 et de 19 h 30 à 21 hLes mercredis : de 18 h à 19 h 30 et de 19 h 30 à 21 hLes samedis : de 9 h à 10 h 30 et de  10 h 30 à 12 hLes dimanches : de 9 h à 10 h 30 et de  10 h 30 à 12 h Période des sessionsPrintemps : 29 avril au 23 juin 2024Été : 24 juin au 18 août 2024Automne : 19 août au 13 octobre 2024",2019-08-30,2023-09-01,Le Sud-Ouest,Parc et jardins,Parc,Volleyball,"Brumisateur,Aire de pique-nique,Fontaine d'eau potable",,Culture et sports,Ouvert, ,,,,,,Square Saint-Patrick,"1335, rue Saint-Patrick",,H3K1A4,Montréal,-73.558496,45.48867,300227.6,5038751.2
31,Parc Saidye-Bronfman,https://montreal.ca/lieux/parc-saidye-bronfman,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2021-07-20,2022-09-20,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,,,Culture et sports,Ouvert, ,,,,,,Parc Saidye-Bronfman,1815 rue Buchan,,H4P2R9,Montréal,-73.649405270189,45.499957691839,293123.9,5040014.8
